No,text,created,Kelas,kelasF
51,@ziwayeks Order ka nalang sa GrabFood with SulEat Savers para you can enjoy up to 20% off your fave dishes ð Just l… https://t.co/nVmHCrm,4/5/2021 23:53:58,positif,1
52,@agungsatria45 Jco kayanya ngga ada di grabfood/gofood kak,4/5/2021 23:51:55,negatif,-1
53,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 23:51:47,netral,0
54,"RT @rinmansor: Dulu masa GrabFood belum ada, kita ada dia ni... https://t.co/YJXiTa4EQ6",4/5/2021 23:40:38,netral,0
55,"Bubur gudeg habis tinggal nasi, kalau mau langsung saja ke jl. Kapten hariyadi no 102 ngaglik. Atau lewat aplikasi.… https://t.co/SsEmYEfuXR",4/5/2021 23:36:24,positif,1
56,"RT @Shalalaaluuh: Is it worth the hype? NEW @McDo_PH Taste of Korea K-Burgers! #SaranghaeyoKoTo ✨

Can’t choose between K-Beef or K-Chicken…",4/5/2021 23:24:10,netral,0
57,RT @kookkikkie: กด grabfood มา อยากกินอาหารเกาหลี มาถึงตกใจ ป๊าดด ใหญ่เบิ้มมาก!! กินได้อีกมื้ออ่ะ หมดนี่สามร้อยกว่าบาท คิมบับอันเท่าแขน กิม…,4/5/2021 23:23:15,positif,1
58,@jongsston I am sorry Jojo. Can you DM us your issue that you are facing with GrabFood so that we can assist you closely on this ya ð,4/5/2021 23:22:45,negatif,-1
59,"RT @ohohvin_: Nung nag-GCQ at MGCQ, panay outing galore sa mga resorts, inuman, kain sa labas at rides kahit saan. May pa-delivery pa sa Sh…",4/5/2021 23:20:11,netral,0
60,@jilixism yours send breakfast sa grabfood,4/5/2021 23:08:53,positif,1
61,"@faizrazak_12 Maaf ya bro  ðPada masa ini,  kami membantu para pemandu untuk waktu sukar ini untuk menjana pendapat… https://t.co/WgFvw1j",4/5/2021 23:07:45,netral,0
62,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 22:49:50,netral,0
63,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 22:43:24,netral,0
64,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 22:35:51,netral,0
65,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 22:33:10,netral,0
66,RT @angelspizza: Get 30% OFF on Double Deal and Creamy Spinach Dip pizza! Available only in GRABFOOD from April 5 to April 11. Check the GR…,4/5/2021 22:27:49,positif,1
67,RT @tilehopper: Ini final boss driver GoFood / GrabFood https://t.co/rzYcMoU4MQ,4/5/2021 22:27:34,netral,0
68,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 22:24:47,netral,0
69,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 22:19:31,netral,0
70,RT @angelspizza: Get 30% OFF on Double Deal and Creamy Spinach Dip pizza! Available only in GRABFOOD from April 5 to April 11. Check the GR…,4/5/2021 21:24:16,positif,1
71,@GrabID nungguin pesenan grabfood sembari nntn 1 episode series durasi 55 menit tpi ganyampe” bahkan sampe resto ny… https://t.co/cEtL8YyIFy,4/5/2021 20:19:42,positif,1
72,"SEHAT TIDAK HARUS MAHAL

SUSU KAMBING ETAWA 

Hanya
Rp: 10.000/Botol Isi 200 ml

GrabFood :ANIS AL KATHIRI… https://t.co/WHa37l8HLx",4/5/2021 20:07:58,positif,1
73,"SWH Smoked Beef

#sandwichouse
#sandwich
#coffee
#gofood
#grabfood
#Kuliner
#makanenak
#tebet
#jajan
#kreatif… https://t.co/5yeON8mA2F",4/5/2021 19:54:02,netral,0
74,"Our Set Menu....

#sandwichouse
#sandwich
#coffee
#gofood
#grabfood
#Kuliner
#makanenak
#tebet
#jajan
#kreatif… https://t.co/ErwYuOxgl8",4/5/2021 19:53:05,netral,0
75,"Try our ice coffee matcha....
#qrcode
#sandwichouse
#sandwich
#coffee
#gofood
#grabfood
#Kuliner
#makanenak
#tebet… https://t.co/PKs4LYhBuz",4/5/2021 19:52:24,netral,0
76,"Scan Please.....
#qrcode
#sandwichouse
#sandwich
#coffee
#gofood
#grabfood
#Kuliner
#makanenak
#tebet
#jajan… https://t.co/RfnChNMTKH",4/5/2021 19:51:37,netral,0
77,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 19:30:44,netral,0
78,"dah tak relevan sebab dah ada grabfood, foodpanda etc https://t.co/fjblOO0hB4",4/5/2021 19:25:04,positif,1
79,"@subtanyarl Pernah pas malem2 berdiri nungguin abang grabfood didepan rumah, terus tiba2 ada bapak2 tua bawa sepeda… https://t.co/C2YwpsIVPp",4/5/2021 19:07:58,positif,1
80,not me looking at grabfood at 3am,4/5/2021 18:59:55,positif,1
81,"Umay nung mga nang ffake booking sa grabfood ampota,  kala madali kumita ng pera ampota",4/5/2021 18:53:37,netral,0
82,"RT @DiahRudiyanti: Assalammualaikum, sobat twit semangat Senin Ikhtiar,yakin Allah yg mengirimkan pembeli Mulyarasa bebek grabfood gofood D…",4/5/2021 18:40:37,netral,0
83,@ANSRMD Sama nih padahal depan komplek ada warung penyetan enak tp malah grabfood ditempat yg sama udah tau harga j… https://t.co/U1MlYjjG50,4/5/2021 18:39:11,positif,1
84,ada yang jam segini lagi overthinking ada juga yang bingung mau grabfood bebek goreng apa ayam geprek ð,4/5/2021 18:31:55,positif,1
85,"RT @PapaAis_: Good morning People
Grab your breakfast now!  @DapurGita_CS is open from 7:00 AM. Order Available at: 
Grabfood https://t.co/…",4/5/2021 17:47:21,positif,1
86,"RT @yascasubekti: Wilayah Jakarta, bisa pesan via gofood dan grabfood, khusus Muah ada di shopeefood juga. https://t.co/asyFdHYHOp",4/5/2021 17:47:07,positif,1
87,"Wilayah Jakarta, bisa pesan via gofood dan grabfood, khusus Muah ada di shopeefood juga. https://t.co/asyFdHYHOp",4/5/2021 17:39:36,positif,1
88,"RT @RacunBelanja: Point Coffee diskon 50%

ð Early Grey Tea (hot) &amp; Mocha (iced) dengan semua metode pembayaran di seluruh outlet Point C",4/5/2021 17:31:01,positif,1
89,"Is it worth the hype? NEW @McDo_PH Taste of Korea K-Burgers! #SaranghaeyoKoTo ✨

Can’t choose between K-Beef or K-C… https://t.co/NZmqb2EyEu",4/5/2021 17:23:31,positif,1
90,@FifiHoshino sinting lu beli sana sendiri lu pikir gua grabfood eh btw sekarang kan serba mudah ada grabfood loh @GrabID ya kan grab,4/5/2021 17:16:37,positif,1
91,"@hg529 Yeap, grabfood",4/5/2021 17:15:30,positif,1
92,"Buto peh grabfood rider, complete order beh tk hantar,call dier abeh kate kat luar beh bile aku check tkde pape, be… https://t.co/DD1LdADA7x",4/5/2021 17:07:39,netral,0
93,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:57:45,netral,0
94,"RT @LittleIndiaPH: SAMOSA CHAAT
#vegan #vegetarian

Little India offers pure authentic sattvik Indian vegan and vegetarian cuisine.

Please…",4/6/2021 23:57:08,netral,0
95,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:55:32,netral,0
96,Nasi gudeg telurj bebek monggo yg minat merapat ke jl. Kapten hariyadi no 102 ngaglik. Atau lewat aplikasi.… https://t.co/mkWI4zr0Cy,4/6/2021 23:54:51,positif,1
97,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:53:33,netral,0
98,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:51:07,netral,0
99,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:49:24,netral,0
100,@FOODFESS2 ini kalo beli pake grabfood gtu gmn dh?,4/6/2021 23:48:42,positif,1
101,"SAMOSA CHAAT
#vegan #vegetarian

Little India offers pure authentic sattvik Indian vegan and vegetarian cuisine.

P… https://t.co/TYUjk392n9",4/6/2021 23:47:04,netral,0
102,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:45:06,netral,0
103,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:43:57,netral,0
104,"@_itskyleo We've got your cravings covered, KUD ð Get 30% OFF on your favorite Starbucks drinks until April 11. Plu… https://t.co/nLS4uir",4/6/2021 23:43:46,positif,1
105,"RT @grabph: We heard you say promocode juseyo~

Oh, sa mga gusto mag-celebrate diyan ng birthday ng ating best boy Mingyu, use SIGNATURES o…",4/6/2021 23:43:26,positif,1
106,@regregencia We've got your cravings covered ð Get 30% OFF on your favorite Starbucks drinks until April 11. Plus e… https://t.co/jWJbR0r,4/6/2021 23:42:42,positif,1
107,"RT @grabph: Shocks wrong account. Pero pwede naman!ðð¤£

Celebrate Mingyu's birthday today by ordering anything Korean (or spicy ð) v",4/6/2021 23:41:11,positif,1
108,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:41:05,netral,0
109,"@honeyOhhHH We've got your cravings covered, Honey ð Get 30% OFF on your favorite Starbucks drinks until April 11.… https://t.co/c6wPfaJ",4/6/2021 23:40:52,positif,1
110,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:39:45,netral,0
111,"@abdulsgrandoter Yea betul tu ✔ Pada masa ini kan, kami membantu para pemandu untuk waktu sukar ini untuk menjana p… https://t.co/MtMGmD9ewJ",4/6/2021 23:36:27,netral,0
112,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:34:27,netral,0
113,"@nztlakmal Yea betul tu ✔ Pada masa ini kan, kami membantu para pemandu untuk waktu sukar ini untuk menjana pendapa… https://t.co/oQlTZ8COIR",4/6/2021 23:32:46,netral,0
114,"RT @grabph: Shocks wrong account. Pero pwede naman!ðð¤£

Celebrate Mingyu's birthday today by ordering anything Korean (or spicy ð) v",4/6/2021 23:29:12,positif,1
115,"RT @grabph: Shocks wrong account. Pero pwede naman!ðð¤£

Celebrate Mingyu's birthday today by ordering anything Korean (or spicy ð) v",4/6/2021 23:26:52,positif,1
116,"RT @grabph: Shocks wrong account. Pero pwede naman!ðð¤£

Celebrate Mingyu's birthday today by ordering anything Korean (or spicy ð) v",4/6/2021 23:26:13,positif,1
117,"RT @grabph: Shocks wrong account. Pero pwede naman!ðð¤£

Celebrate Mingyu's birthday today by ordering anything Korean (or spicy ð) v",4/6/2021 23:25:54,positif,1
118,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:25:03,netral,0
119,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:23:12,netral,0
120,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:21:13,netral,0
121,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:15:20,netral,0
122,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 23:03:22,netral,0
123,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 22:59:28,netral,0
124,"RT @grabph: Shocks wrong account. Pero pwede naman!ðð¤£

Celebrate Mingyu's birthday today by ordering anything Korean (or spicy ð) v",4/6/2021 22:58:29,positif,1
125,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 22:55:03,netral,0
126,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 22:49:14,netral,0
127,@RX931 #WhenIAmAtMyWorst Tumawag ka na ng GrabFood kasi mas matindi galit ko pag gutom.,4/6/2021 22:48:07,positif,1
128,"RT @anjgrillwestern: Kek baru sampai harini ð¥°. Ad flavor baru yg tgh best seller sekarang, Double Chocolate Cheese Cake. Utk dine 3-6ptg ",4/6/2021 22:45:38,positif,1
129,"Aloha, @nasgortiarbah makassar buka seperti biasa di jam 11, bisa order lewat Tokopedia, WhatsApp 082225611165, GoF… https://t.co/A5TU9FovkB",4/6/2021 22:45:16,positif,1
130,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 22:44:35,netral,0
131,RT @DiahRudiyanti: Dapat apresiasi dan review dari Bapak WAGUB @ArizaPatria untuk Sate Bebek Mulyarasa bebek grabfood gofood DM https://t.c…,4/6/2021 22:43:10,positif,1
132,ð Grabfood Schedule ð https://t.co/OzSS,4/6/2021 22:39:50,netral,0
133,Those people na  nagpprank-booking sa grabfood/foodpanda have a special place in hell talaga eh,4/6/2021 22:37:00,negatif,-1
134,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/6/2021 22:28:46,netral,0
135,"RT @grabph: We heard you say promocode juseyo~

Oh, sa mga gusto mag-celebrate diyan ng birthday ng ating best boy Mingyu, use SIGNATURES o…",4/6/2021 22:26:13,positif,1
136,"RT @Giladiskon: Starbucks Promo Spesial GrabFood❗️❗️

harga spesial kemasan 2x1L hanya Rp100ribu khusus hari inið¥³

Info lengkap: https://",4/6/2021 22:21:34,positif,1
137,"RT @Giladiskon: CFC Promo Spesial GrabFood❗️❗️

diskon 35% (maks 50ribu) dengan minimal transaksi 60 ribuð¥³

Info lengkap: https://t.co/ZH",4/6/2021 22:21:25,positif,1
138,Tapi perbezaan antara orang kebulur sebab takde duit dengan orang yang tak cukup duit nak makan is that orang kebul… https://t.co/JDqN4rIsLU,4/7/2021 23:55:23,netral,0
139,"RT @Dartlurhahs: @My_CrimeWatch Aku bukan nak kata apa la kedai melayu, tomyam dia punya servis mmng out. Kalau dah tahu tak ckup tangan na…",4/7/2021 23:46:22,netral,0
140,@Ayuningtyasra18 @ganotmahendra @ssssssssag Kangen grabfood pas praktek hahaha,4/7/2021 23:45:44,positif,1
141,@bangtanboiph I checked sa GrabFood McDo but wala sya. Huhu,4/7/2021 23:43:12,negatif,-1
142,"RT @Nonaberbicara: @txtdarionlshop Perjuangan gaes wkwkwkw

Jadi ada pake jaket grab trus gua tanya pas dia ke kasir: ""bapak grab? Atas nam…",4/7/2021 23:25:42,netral,0
143,RT @grabph: Looking for the hottest food deals this summer? The best promos are waiting for you with GrabFood Daily Deals! ☀️ Enjoy 20% OFF…,4/7/2021 23:20:36,positif,1
144,"RT @Dartlurhahs: @My_CrimeWatch Aku bukan nak kata apa la kedai melayu, tomyam dia punya servis mmng out. Kalau dah tahu tak ckup tangan na…",4/7/2021 23:06:03,netral,0
145,"RT @Dartlurhahs: @My_CrimeWatch Aku bukan nak kata apa la kedai melayu, tomyam dia punya servis mmng out. Kalau dah tahu tak ckup tangan na…",4/7/2021 22:51:38,netral,0
146,"Amazing Value, Exciting Selection only with GrabFood Signatures @grabph https://t.co/7oQ6WXKhaw",4/7/2021 22:30:00,positif,1
147,"RT @jenibeanie13: [MINI GIVEAWAY]

Aku mau bagi bagi voucher Grabfood buat aroha yang uda berjuang streaming ðªðª BIAR KALIAN GA LUPA MA",4/7/2021 21:20:37,positif,1
148,"Hi there! Please lang join kayo dito kung may canceled orders from foodpanda, grabfood, lalamove, angkas. BE AN ORD… https://t.co/Y4VFBk6EkO",4/7/2021 21:19:50,negatif,-1
149,"@annisahbilqis Ga perlu bingung-bingung lagi ya Kak. Pokoknya kalau bulan puasa nanti, #bisalah langsung order sahu… https://t.co/A3ECpE9sJk",4/7/2021 21:14:27,positif,1
150,"Dijamin takkan ada vendor mcm ni dalam GrabFood. Kalau ada, on the spot terminate. https://t.co/JcVVuFEy8r",4/7/2021 20:57:49,positif,1
151,check2 online shopping ngn grabfood yg lebih ð,4/7/2021 20:37:39,positif,1
152,"Amazing Value, Exciting Selection only with GrabFood Signatures @grabph https://t.co/OFUvFSQXim",4/7/2021 20:00:00,positif,1
153,Lele Goreng Crispy Spesial Sambel Seuhah! Lele pilihan yang digoreng dengan tepung bumbu rahasia membuat rasa yang… https://t.co/OJJJeCid4b,4/7/2021 19:44:40,netral,0
154,Promo grabfood jam segini masih bisa ga ya wkwkwkwkwkwk,4/7/2021 19:11:16,positif,1
155,help why did i immediately think these were from grabfood and foodpanda https://t.co/tEQCHnjIzD,4/7/2021 18:51:23,positif,1
156,for fcks sake stop ordering from grabfood/foodpanda riders kung di niyo papanindigan puta hindi biro trabaho nila. konting respeto naman.,4/7/2021 18:50:53,negatif,-1
157,"Kok tbtb pgn grabfood, huf",4/7/2021 18:46:43,positif,1
158,"@dfnsjuni @FFOODFESS Langsung cek grabfood sma gofood aja, beda harga soalnya teteh ð",4/7/2021 18:44:49,positif,1
159,@dfnsjuni @FFOODFESS Cicaheum (sementara cuma bisa gofood sama grabfood) grgr coronce anjayyaniiii ð,4/7/2021 18:40:40,positif,1
160,tangina nyo seryoso anong nakakatawa sa pangpaprank sa mga grabfood drivers??????,4/7/2021 18:24:10,netral,0
161,@d0youlovemee Grabfood ð,4/7/2021 18:22:31,netral,0
162,RT @hanifjamals: Ada sesiapa yang ada details budak grabfood accident kat area kl area hartamas nak ke lrt masjid jamel sebab ada kereta pr…,4/7/2021 18:18:47,netral,0
163,Jadi ini aku grabfood in atau aku yg anter aja cantik? :),4/7/2021 18:16:29,positif,1
164,"RT @Dartlurhahs: @My_CrimeWatch Aku bukan nak kata apa la kedai melayu, tomyam dia punya servis mmng out. Kalau dah tahu tak ckup tangan na…",4/7/2021 18:15:26,netral,0
165,Tetiba nih perut gue keroncongan. Grabfood apaan jam segini allahuuu:(,4/7/2021 18:10:19,positif,1
166,"RT @PapaAis_: Selamat sore
Yuk Cobain Panada Tongkol Kemangi, Panada coklat, Risol, Otak-otak Bandeng istriku @DapurGita_CS Halal &amp; Enak
Gr…",4/7/2021 18:09:34,positif,1
167,post foodpanda/grabfood clarity gotta be the worst feeling ever. you sitting there wondering if $16 for 2 piece chicken was worth it,4/7/2021 17:53:16,negatif,-1
168,si neng ayaw pa bumaba aabot lg naman bayad sa grabfood.,4/7/2021 17:50:08,positif,1
169,Alisin niyo na yung COD sa grabfood @grabph para wala ng mga demonyong nagt-trip sa mga grabfood drivers !!!,4/7/2021 17:43:03,negatif,-1
